label,volume_um3,centroid_z,centroid_y,centroid_x,bbox_min_z,bbox_min_y,bbox_min_x,bbox_max_z,bbox_max_y,bbox_max_x,solidity,extent,major_axis,intermediate_axis,minor_axis,elongation_ratio1,elongation_ratio2,sphericity,timepoint
11,576.15677439,29.503314096916302,136.75739603524227,130.6776005873715,22.389,129.066,127.31,36.437,142.236,135.212,0.8559577677224736,0.3940972222222222,12.879558299012515,10.506757186595898,6.4775087943782665,0.815769993245922,0.5029294207142881,0.8695565850420977,0
12,2283.729781367,16.133595598858964,107.7388098025414,138.95982039788092,6.585,92.19,131.7,26.779,121.164,147.065,0.5957667520084753,0.25402785620176926,32.189386246974095,14.261681586191234,10.648939702590292,0.4430554058026464,0.33082145838028604,0.6420020146854404,0
13,1239.540807869,18.94501788273838,81.75887338748208,144.8899858712716,11.414,73.313,137.407,26.34,89.117,154.967,0.7121816060664982,0.2992442810457516,18.10667843108081,12.901594917925935,10.025438348492592,0.7125323933394572,0.5536873251851395,0.7631407100897555,0
14,644.517225742,21.77516067209241,70.70568114990812,143.7258800210029,14.926,65.85,140.041,28.535,76.386,148.821,0.9200483091787439,0.5119623655913978,13.285786558983608,9.02981125053254,7.662309301536465,0.6796595151099085,0.5767298208140601,0.9476493896755902,0
15,722.014965146,13.899437543941879,129.2875062104523,149.25459866416685,6.146,124.676,143.114,21.072,133.895,158.04,0.828624138265851,0.35154061624649857,13.718159388119467,11.188162818438641,7.058017395296525,0.8155731758101663,0.5145017779432626,0.8479726898350874,0
16,209.311580006,27.492685529506872,115.63320331447049,150.27374575586097,21.95,112.823,146.626,32.486,118.969,154.089,0.8692902319044272,0.4331232492997199,10.193740211690706,6.367512843495756,4.637630084463501,0.6246493152918656,0.4549488203696645,0.9272232939787177,0
17,7936.073091238,18.721191083345772,112.6886960086139,176.9899669836464,4.39,100.531,150.138,35.559,128.188,193.16,0.5327903304592805,0.21398686906016598,39.429322377924876,25.456464795181617,18.147037833642013,0.645622680278011,0.4602421938603215,0.6018817536421612,0
18,755.7721682270001,30.226965856934964,127.58107623418785,159.59578887271914,22.389,122.92,153.65,37.754,132.139,166.82,0.8448879220656389,0.40512471655328797,15.3679139313108,10.195124183551808,7.158059603772373,0.6634032588365895,0.4657795219160125,0.8662570051521348,0
19,1718.31778089,23.822266912850814,186.18899990152633,163.4643626784835,12.731,178.673,154.967,33.803,194.916,176.039,0.6655306878133499,0.23824605855855857,22.41800457543165,14.905481818718897,8.952746438456257,0.6648888739657998,0.3993551882966317,0.7074648425142979,0
20,1377.9538009530002,17.18577049180328,82.72841388837723,164.81308509854486,7.902,76.386,157.601,27.218,89.117,171.649,0.7356036312723002,0.39887833072100315,16.99735979191569,12.00674295918773,10.947487763725068,0.7063887042561983,0.6440698966042907,0.7967314834183684,0
21,715.5004171830001,26.86968617713137,157.15270817074614,167.8962429939695,19.316,148.821,162.869,34.242,162.43,172.966,0.7124083901945919,0.34885735500371257,15.162798452255622,9.325536611352032,8.707066244962766,0.6150274067624214,0.5742387378147534,0.7811825007673708,0
22,1390.813687841,14.65427878824746,154.75421625403007,181.17355617738306,6.146,147.065,174.283,22.389,161.991,189.209,0.8377841198654571,0.3843402225755167,15.36168348381768,14.967436905431317,8.920159560846733,0.974335717904768,0.5806759116110819,0.8695578327781741,0
23,1133.1929274860001,19.267098402269674,73.94659033895773,194.43258869643122,11.853,68.484,185.258,26.779,79.898,203.257,0.8268922089146808,0.36955082220505464,17.690767457391146,13.107892368663554,7.40656101765434,0.7409453773124534,0.4186681575852099,0.8250988668065089,0
24,650.185728515,19.508794404684448,61.94058646714379,191.60450618087182,13.17,57.509,186.136,26.34,68.045,197.111,0.8696390177662102,0.42694444444444446,12.3783524790458,10.665318620349064,7.363983338161325,0.8616105122554413,0.5949081956283884,0.9086790850940977,0
