label,volume_um3,centroid_z,centroid_y,centroid_x,bbox_min_z,bbox_min_y,bbox_min_x,bbox_max_z,bbox_max_y,bbox_max_x,solidity,extent,major_axis,intermediate_axis,minor_axis,elongation_ratio1,elongation_ratio2,sphericity
11,372.344488119,22.959171324698932,87.45027630084073,117.19634174051353,17.56,83.849,112.823,28.535,92.629,122.042,0.8183339531424322,0.41914285714285715,10.31679665258988,8.30577967454826,6.995700866383766,0.8050735082059813,0.6780884708653822,0.8954641423369786
12,235.70818993400002,29.26314752333094,135.48743862167981,130.18004522613066,24.145,131.261,128.188,34.242,140.041,133.456,0.9022020725388601,0.5047101449275362,9.246025975836735,8.0529624790556,4.5236524811685035,0.8709647258293401,0.4892537067265948,0.9389318101378814
13,317.013132693,19.43702668801708,99.7563354683747,135.77554149986656,14.048,96.58,130.822,25.023,103.165,140.041,0.8760813654430676,0.4758095238095238,10.691767493999258,7.303759861202751,5.768292099299275,0.6831199673301891,0.5395078131409725,0.9395199978650283
14,536.561859498,14.410787606433301,113.75083916745506,139.4445220750552,8.78,104.482,133.456,19.316,122.92,144.431,0.5927656790354239,0.25166666666666665,20.73378311522667,9.070462075311216,6.566507890484123,0.43747260328241616,0.3167057287129501,0.6464611289827467
15,759.240953506,19.56338388678404,85.24441731669268,146.77779596612436,13.609,78.142,139.163,26.779,93.068,154.089,0.7293563068920677,0.25876585928489043,17.589432839400168,9.883835003666091,7.7669146241017275,0.5619189142657511,0.44156708718338605,0.7675277901338857
16,236.04660801,13.850056630824373,129.3646458781362,147.63837491039425,8.341,126.871,143.553,19.316,132.578,152.333,0.8857142857142857,0.42923076923076925,10.31885275083057,7.3414141566097255,4.465744749885109,0.7114564316288756,0.43277531501994326,0.9199468365239123
17,3382.319460582,17.52035844714593,111.65166348991946,177.79160685877233,7.902,101.409,151.016,28.535,122.481,191.843,0.4463225114991292,0.19054564172958133,37.31903564768734,18.740244841701806,14.503244271128311,0.5021631592686435,0.38862859180089976,0.5138939588237453
18,426.40677576,26.538508134920633,169.6322130952381,155.69553095238095,21.511,163.747,151.455,31.608,174.283,161.991,0.8259587020648967,0.3804347826086957,11.694870705660884,9.443698207714824,6.057100370968853,0.8075077053347514,0.5179279466541621,0.8670850168858241
19,299.923019855,19.31946741889986,185.42616981664318,158.9415289139633,14.048,181.746,155.845,24.584,189.648,163.308,0.9258291982240794,0.48270697167755994,9.738691030788134,7.687756566260372,5.531081004221279,0.7894034775265086,0.5679491203422703,0.9921582190003949
20,494.259599998,17.380627695994523,83.98553937007874,164.1793871961657,10.097,79.02,158.479,25.901,90.434,170.332,0.7025012025012025,0.23116492560937005,17.32765167023392,8.790256275507947,5.608810375792924,0.5072964555611522,0.3236913161999872,0.7384480989042062
21,288.078387195,26.82850837004405,188.87688135095448,165.57597327459618,21.95,183.063,159.796,31.608,195.794,169.893,0.7531519575315195,0.23204306937440372,12.995122060530031,7.900958028935876,4.570771441163435,0.6079941375028239,0.3517297813651323,0.7651016161031055
22,232.916240807,28.13458990192517,118.9222775154377,175.0616549219034,22.828,115.018,172.527,33.364,125.993,177.795,0.8161873702935073,0.3823611111111111,9.703656282280297,8.668251117381608,4.253076824303636,0.8932974195727205,0.4382963184784396,0.843410582142917
23,629.4576213600001,13.851807123655915,151.09193991935484,182.64960833333333,8.341,144.87,176.478,19.755,157.162,187.892,0.7811023622047244,0.39306846999154693,10.610300812728424,10.385888952046843,9.170963984266118,0.9788496231499516,0.8643453325342448,0.8655347803212201
24,407.709177061,18.902325171197344,70.9105704503009,186.65015563394894,13.609,66.289,181.746,24.584,75.947,193.16,0.79285949325436,0.336993006993007,10.24820453466364,9.567372812951355,6.629547612235756,0.9335657558931973,0.6468984483879006,0.8541116398272338
25,202.45861396700002,18.980099874634348,58.921578353531125,188.06371082323443,15.365,51.802,183.502,22.828,64.533,194.477,0.6264397905759163,0.194158215010142,15.421118882429358,6.787078825154818,4.197256958312366,0.44011584872015586,0.27217590307890505,0.6453774729847324
26,196.79011119400002,11.013690885640585,121.76172699914015,196.39738907996562,6.146,118.53,192.282,15.804,125.115,200.623,0.8854206318995052,0.37097288676236045,9.74401867450532,7.535802374204557,3.851065361916398,0.7733772507971031,0.3952235202496579,0.8928124598561907
27,358.30013796500003,26.424275560802833,165.98957992916175,200.00155844155844,21.95,158.479,195.355,31.608,172.966,207.208,0.6924460431654677,0.21604938271604937,15.830748037808236,8.190651135743527,4.8078766154400805,0.517388762437629,0.30370495468423425,0.7101562605366017
28,101.10240020500001,31.021319665271967,128.91464602510462,205.53318744769874,27.657,125.554,201.94,34.681,133.017,208.525,0.839185393258427,0.2928921568627451,8.042747464275642,5.931301205644706,3.169103163491194,0.7374720183606933,0.3940324096420718,0.876811564357512
