label,volume_um3,centroid_z,centroid_y,centroid_x,bbox_min_z,bbox_min_y,bbox_min_x,bbox_max_z,bbox_max_y,bbox_max_x,solidity,extent,major_axis,intermediate_axis,minor_axis,elongation_ratio1,elongation_ratio2,sphericity
23,1488.19348921,13.888672200113701,150.98887134735645,182.4663942581012,5.707,143.553,175.6,21.95,158.479,188.77,0.8460798460798461,0.4660837307896131,14.91646688303893,13.15904118196036,11.297470441129418,0.8821821739116461,0.7573824639382557,0.9021611214601098
24,1209.252390067,18.937507241306935,70.95165115790947,186.6520929825789,10.975,64.972,180.429,26.34,78.142,194.477,0.8633123942981397,0.42538690476190477,14.23379682184804,13.226769607557854,9.291109409363601,0.9292509773116574,0.6527498969988313,0.9068633557678424
25,703.2327619280001,19.2689416506256,58.53646703561117,188.14582988450434,13.17,50.924,182.624,25.023,65.411,195.794,0.8031693883467002,0.31096146651702206,17.27475927453448,11.310802307592887,5.796353404930004,0.654758895787721,0.335538881486741,0.7817337859372046
26,570.911294212,10.992435091879075,121.67228497332543,196.3551106994665,3.512,117.213,190.087,17.999,126.432,202.818,0.8424469413233459,0.33577150818530127,13.609033017337502,10.645565114518753,5.8104222690325384,0.7822425811559587,0.4269533523528258,0.8428303586393816
27,78.17457555600001,12.594168831168831,95.01546861471861,194.53211255411256,8.78,92.629,192.721,16.682,98.336,197.111,0.8516129032258064,0.39487179487179486,7.693713800046981,4.612483213731196,3.2809585836626667,0.5995132303599635,0.42644666398204617,0.9280392578367306
28,98.39505559700001,11.749572656921755,111.83402321582116,196.2854686156492,7.024,109.75,193.599,16.243,114.14,199.306,0.8342898134863702,0.426007326007326,8.135411348996136,5.027729287519209,3.4450947396713976,0.618005540449974,0.4234690284095472,0.9224175344915112
29,934.287703317,26.488201756768994,165.7630686407679,200.22884216245586,19.755,157.162,194.477,32.925,173.844,208.525,0.7642214532871973,0.3027138157894737,18.319752839074816,11.854179251079326,6.754267334479468,0.6470709160330563,0.3686876888466019,0.7783849468640133
30,11593.611052127,21.597494209424006,123.09794440025397,241.7382350090854,0.439,107.116,197.989,41.705,142.675,275.253,0.2500520055910572,0.10225854884542827,66.41270104084138,37.123050092761325,19.735554131571764,0.5589751585307757,0.29716535876827416,0.3406703516572003
31,1128.708887979,24.825629338130575,112.9014480923469,208.1595450865752,9.219,106.677,200.184,34.681,118.53,215.988,0.7139569731349673,0.23664325244785014,23.501308099719935,13.241368174156527,6.317701088244337,0.5634311127691792,0.2688233804449219,0.6918702107035793
32,616.343920915,7.4520927934111185,124.94434138641044,212.05351146190804,0.0,119.408,208.086,14.487,130.383,217.305,0.848177901967633,0.42049062049062047,14.613032649670355,9.607597989484951,6.708746009715156,0.6574677700252508,0.4590933429459281,0.8642406361305337
33,1469.495890511,22.485069952213713,162.31497386147734,226.80331308653348,10.097,155.845,212.037,33.803,170.332,238.377,0.5725540611814346,0.1624485596707819,30.609833677066423,13.54625140237137,7.800633014019905,0.4425457369446776,0.25484075138455636,0.5793726420401227
34,752.895614581,21.39586054612878,95.36876649061692,223.04298011012474,13.17,89.556,218.183,28.974,101.409,228.28,0.8576522744795683,0.3980586867060297,15.063265869287564,9.70536985471402,7.868816979837974,0.6443071468652931,0.5223845245858453,0.8756658880640819
35,187.14519602800002,23.426762658227847,203.99806057866184,246.0531491862568,18.877,200.623,241.889,27.657,208.086,249.791,0.8129364204336641,0.361437908496732,9.394681824475066,7.633283732983335,4.0391921326267735,0.8125111499888236,0.4299445375684627,0.8605516916661914
36,636.987423551,8.24146845530615,135.94656262451855,267.4944956833577,1.317,131.261,262.083,14.926,140.48,273.497,0.8995221027479092,0.4448186222379771,12.770169364094679,10.739132085179047,6.767782542998138,0.8409545542421537,0.5299681116232345,0.9132113254312958
37,6654.230023869,23.154703385843792,124.83276538124119,294.07840908570773,8.78,111.506,273.497,41.705,135.651,308.178,0.48247707266202494,0.24135327963176065,41.3271499131747,23.359787825093647,15.613945426257274,0.5652407164338901,0.377813264622918,0.5464032675037321
38,831.324003694,9.659340321595767,164.371411154081,277.90455821290453,1.317,156.723,273.497,17.999,170.332,284.033,0.8349762066621346,0.3475523486134692,16.11954997830167,11.310903823405877,7.106518228719403,0.701688560699979,0.4408633143161813,0.8309030704917988
39,894.692788425,26.042642364066193,198.752175035461,279.5450293144208,18.438,190.087,273.936,32.486,205.891,286.228,0.7996219281663516,0.32784598214285715,14.608600033700677,11.850919953622252,8.018155252155065,0.8112289970485389,0.5488654103512951,0.8290065380320683
40,133.590535501,16.8212900569981,115.65550918302722,284.3190867637745,10.975,113.262,281.399,22.828,118.969,287.106,0.8031536113936928,0.3460442691211922,11.248471201635189,4.757480270307215,3.8185686038480755,0.42294461042987075,0.33947445260765485,0.8379840022690155
41,2255.0488494260003,19.974055301268102,170.88700048773168,293.0812192166279,9.658,163.308,283.155,38.193,183.063,308.178,0.44574887952371395,0.15986804618383565,26.98633161389048,23.26960588747801,10.66620481912127,0.8622737695663909,0.39524471023809443,0.526871950244113
